alpha,probe_mean,random_mean,diff,lo,hi,n_entities,excludes_zero
-2.0,-27.215437880158426,-27.188366961181163,-0.027070918977262083,-0.09754533146818616,0.05993678122758617,4,False
-1.0,-27.201990751922132,-27.188463525772093,-0.013527226150037031,-0.048866177350283944,0.02986301332712049,4,False
-0.5,-27.19502560198307,-27.18826498359442,-0.00676061838865305,-0.024457741528749317,0.014910455048083193,4,False
0.0,-27.1879030585289,-27.1879030585289,1.7763568394002506e-16,0.0,4.440892098500626e-16,4,False
0.5,-27.18061944246292,-27.187379204034805,0.006759761571883694,-0.014853213727472614,0.024505217373368787,4,False
1.0,-27.17316753268242,-27.186690182089805,0.013522649407386922,-0.029650913178919325,0.04907126426696647,4,False
2.0,-27.157782235741614,-27.184819441139698,0.02703720539808323,-0.05910321772098648,0.09834803963701126,4,False
