family,model,set,metric,layer,point,lo,hi,n_entities,corrected,significant,seed_sd,primary,n_seeds,reference_M_injected,drop_from_reference,p_raw,p_floor,p_holm,threshold
probe_layer,M_injected,forget,accuracy,7.0,0.13958333333333328,,,,False,,0.0658383914951745,False,,,,,,,
probe_layer,M_injected,forget,accuracy,8.0,0.538888888888889,,,,False,,0.11252752172201824,False,,,,,,,
probe_layer,M_injected,forget,accuracy,9.0,0.8486111111111111,,,,False,,0.08416977876245178,True,,,,,,,
probe_layer,M_injected,forget,accuracy,10.0,0.8840277777777779,,,,False,,0.07085912843008545,False,,,,,,,
probe_layer,M_injected,forget,accuracy,11.0,0.9263888888888889,,,,False,,0.052376126331437296,False,,,,,,,
probe_layer,M_npo_s0,forget,accuracy,0.0,0.1923611111111111,,,,True,False,0.10327591862153303,False,20.0,0.19374999999999998,0.001388888888888884,0.7285271472852715,9.5367431640625e-07,1.0,
probe_layer,M_npo_s0,forget,accuracy,1.0,0.15833333333333327,,,,True,False,0.08203174554678751,False,20.0,0.1694444444444444,0.011111111111111127,0.044795520447955206,9.5367431640625e-07,0.22397760223977603,
probe_layer,M_npo_s0,forget,accuracy,2.0,0.12569444444444441,,,,True,False,0.08314733140605307,False,20.0,0.13402777777777775,0.008333333333333331,0.0466953304669533,9.5367431640625e-07,0.22397760223977603,
probe_layer,M_npo_s0,forget,accuracy,3.0,0.08194444444444439,,,,True,False,0.05976385737611852,False,20.0,0.09027777777777775,0.00833333333333336,0.031296870312968704,9.5367431640625e-07,0.1877812218778122,
probe_layer,M_npo_s0,forget,accuracy,4.0,0.08888888888888886,,,,True,False,0.05165393165065716,False,20.0,0.08611111111111107,-0.0027777777777777957,0.6115388461153884,9.5367431640625e-07,1.0,
probe_layer,M_npo_s0,forget,accuracy,5.0,0.08124999999999996,,,,True,False,0.05615086745126531,False,20.0,0.0847222222222222,0.0034722222222222376,0.5602439756024398,9.5367431640625e-07,1.0,
probe_layer,M_npo_s0,forget,accuracy,6.0,0.1506944444444444,,,,True,False,0.061003859899821614,False,20.0,0.18749999999999997,0.036805555555555564,0.013798620137986202,9.5367431640625e-07,0.09659034096590341,
