alpha,kind,draw,logit_diff,entity_id
-2.0,probe_direction,-1,-43.70446586608887,for_000
-2.0,random_matched_norm,0,-43.7939658164978,for_000
-2.0,random_matched_norm,1,-43.83157825469971,for_000
-2.0,random_matched_norm,2,-43.750969886779785,for_000
-2.0,random_matched_norm,3,-43.79600954055786,for_000
-2.0,random_matched_norm,4,-43.759121894836426,for_000
-2.0,random_matched_norm,5,-43.77329111099243,for_000
-2.0,random_matched_norm,6,-43.78611087799072,for_000
-2.0,random_matched_norm,7,-43.80697250366211,for_000
-2.0,random_matched_norm,8,-43.768595695495605,for_000
-2.0,random_matched_norm,9,-43.75157928466797,for_000
-1.0,probe_direction,-1,-43.74885034561157,for_000
-1.0,random_matched_norm,0,-43.793692111968994,for_000
-1.0,random_matched_norm,1,-43.812533378601074,for_000
-1.0,random_matched_norm,2,-43.77217483520508,for_000
-1.0,random_matched_norm,3,-43.79464149475098,for_000
-1.0,random_matched_norm,4,-43.77628183364868,for_000
-1.0,random_matched_norm,5,-43.783321380615234,for_000
-1.0,random_matched_norm,6,-43.78970241546631,for_000
-1.0,random_matched_norm,7,-43.80023670196533,for_000
-1.0,random_matched_norm,8,-43.780930519104004,for_000
-1.0,random_matched_norm,9,-43.772518157958984,for_000
-0.5,probe_direction,-1,-43.77081775665283,for_000
-0.5,random_matched_norm,0,-43.79325294494629,for_000
-0.5,random_matched_norm,1,-43.80269908905029,for_000
-0.5,random_matched_norm,2,-43.782506465911865,for_000
-0.5,random_matched_norm,3,-43.79370832443237,for_000
-0.5,random_matched_norm,4,-43.78456783294678,for_000
-0.5,random_matched_norm,5,-43.78805923461914,for_000
-0.5,random_matched_norm,6,-43.791250228881836,for_000
-0.5,random_matched_norm,7,-43.79655933380127,for_000
-0.5,random_matched_norm,8,-43.78687000274658,for_000
-0.5,random_matched_norm,9,-43.78267955780029,for_000
0.0,probe_direction,-1,-43.79265308380127,for_000
0.0,random_matched_norm,0,-43.79265308380127,for_000
0.0,random_matched_norm,1,-43.79265308380127,for_000
0.0,random_matched_norm,2,-43.79265308380127,for_000
0.0,random_matched_norm,3,-43.79265308380127,for_000
0.0,random_matched_norm,4,-43.79265308380127,for_000
0.0,random_matched_norm,5,-43.79265308380127,for_000
0.0,random_matched_norm,6,-43.79265308380127,for_000
0.0,random_matched_norm,7,-43.79265308380127,for_000
0.0,random_matched_norm,8,-43.79265308380127,for_000
0.0,random_matched_norm,9,-43.79265308380127,for_000
0.5,probe_direction,-1,-43.814305782318115,for_000
0.5,random_matched_norm,0,-43.79183006286621,for_000
0.5,random_matched_norm,1,-43.782371044158936,for_000
0.5,random_matched_norm,2,-43.80259943008423,for_000
0.5,random_matched_norm,3,-43.791409492492676,for_000
0.5,random_matched_norm,4,-43.800522804260254,for_000
0.5,random_matched_norm,5,-43.797049045562744,for_000
0.5,random_matched_norm,6,-43.79388189315796,for_000
0.5,random_matched_norm,7,-43.78849124908447,for_000
0.5,random_matched_norm,8,-43.798269271850586,for_000
0.5,random_matched_norm,9,-43.80241680145264,for_000
1.0,probe_direction,-1,-43.83584213256836,for_000
1.0,random_matched_norm,0,-43.79084587097168,for_000
1.0,random_matched_norm,1,-43.77188777923584,for_000
1.0,random_matched_norm,2,-43.812374114990234,for_000
1.0,random_matched_norm,3,-43.79000473022461,for_000
1.0,random_matched_norm,4,-43.80821228027344,for_000
1.0,random_matched_norm,5,-43.80127811431885,for_000
1.0,random_matched_norm,6,-43.794949531555176,for_000
1.0,random_matched_norm,7,-43.78415107727051,for_000
1.0,random_matched_norm,8,-43.80372953414917,for_000
1.0,random_matched_norm,9,-43.811973571777344,for_000
2.0,probe_direction,-1,-43.87841081619263,for_000
2.0,random_matched_norm,0,-43.788291454315186,for_000
2.0,random_matched_norm,1,-43.75025749206543,for_000
2.0,random_matched_norm,2,-43.83136177062988,for_000
2.0,random_matched_norm,3,-43.78671741485596,for_000
2.0,random_matched_norm,4,-43.822956562042236,for_000
2.0,random_matched_norm,5,-43.809237003326416,for_000
2.0,random_matched_norm,6,-43.79661464691162,for_000
2.0,random_matched_norm,7,-43.77475309371948,for_000
2.0,random_matched_norm,8,-43.8142294883728,for_000
2.0,random_matched_norm,9,-43.830490589141846,for_000
-2.0,probe_direction,-1,-43.982266426086426,for_000
-2.0,random_matched_norm,0,-44.090309619903564,for_000
-2.0,random_matched_norm,1,-44.12588453292847,for_000
-2.0,random_matched_norm,2,-44.04678297042847,for_000
-2.0,random_matched_norm,3,-44.09654521942139,for_000
-2.0,random_matched_norm,4,-44.070313453674316,for_000
-2.0,random_matched_norm,5,-44.06685209274292,for_000
-2.0,random_matched_norm,6,-44.08304691314697,for_000
-2.0,random_matched_norm,7,-44.11097240447998,for_000
-2.0,random_matched_norm,8,-44.07933855056763,for_000
-2.0,random_matched_norm,9,-44.06252193450928,for_000
-1.0,probe_direction,-1,-44.03805065155029,for_000
-1.0,random_matched_norm,0,-44.092050552368164,for_000
-1.0,random_matched_norm,1,-44.109946727752686,for_000
-1.0,random_matched_norm,2,-44.070332527160645,for_000
-1.0,random_matched_norm,3,-44.09520483016968,for_000
-1.0,random_matched_norm,4,-44.082176208496094,for_000
-1.0,random_matched_norm,5,-44.080331325531006,for_000
-1.0,random_matched_norm,6,-44.08840322494507,for_000
-1.0,random_matched_norm,7,-44.102530002593994,for_000
-1.0,random_matched_norm,8,-44.08652305603027,for_000
-1.0,random_matched_norm,9,-44.07820749282837,for_000
-0.5,probe_direction,-1,-44.06563091278076,for_000
-0.5,random_matched_norm,0,-44.09262800216675,for_000
-0.5,random_matched_norm,1,-44.10159683227539,for_000
-0.5,random_matched_norm,2,-44.08176136016846,for_000
-0.5,random_matched_norm,3,-44.094215869903564,for_000
-0.5,random_matched_norm,4,-44.08770418167114,for_000
-0.5,random_matched_norm,5,-44.086763858795166,for_000
-0.5,random_matched_norm,6,-44.09078407287598,for_000
-0.5,random_matched_norm,7,-44.09790563583374,for_000
-0.5,random_matched_norm,8,-44.08986282348633,for_000
-0.5,random_matched_norm,9,-44.08570098876953,for_000
0.0,probe_direction,-1,-44.09300136566162,for_000
0.0,random_matched_norm,0,-44.09300136566162,for_000
0.0,random_matched_norm,1,-44.09300136566162,for_000
0.0,random_matched_norm,2,-44.09300136566162,for_000
0.0,random_matched_norm,3,-44.09300136566162,for_000
0.0,random_matched_norm,4,-44.09300136566162,for_000
0.0,random_matched_norm,5,-44.09300136566162,for_000
0.0,random_matched_norm,6,-44.09300136566162,for_000
0.0,random_matched_norm,7,-44.09300136566162,for_000
0.0,random_matched_norm,8,-44.09300136566162,for_000
0.0,random_matched_norm,9,-44.09300136566162,for_000
0.5,probe_direction,-1,-44.120184898376465,for_000
0.5,random_matched_norm,0,-44.09319734573364,for_000
0.5,random_matched_norm,1,-44.084160804748535,for_000
0.5,random_matched_norm,2,-44.10402297973633,for_000
0.5,random_matched_norm,3,-44.09156513214111,for_000
0.5,random_matched_norm,4,-44.098045349121094,for_000
0.5,random_matched_norm,5,-44.0990571975708,for_000
0.5,random_matched_norm,6,-44.09502649307251,for_000
0.5,random_matched_norm,7,-44.08782720565796,for_000
0.5,random_matched_norm,8,-44.0959587097168,for_000
0.5,random_matched_norm,9,-44.10007095336914,for_000
1.0,probe_direction,-1,-44.147154331207275,for_000
1.0,random_matched_norm,0,-44.093151569366455,for_000
1.0,random_matched_norm,1,-44.07506513595581,for_000
1.0,random_matched_norm,2,-44.1148247718811,for_000
1.0,random_matched_norm,3,-44.08993673324585,for_000
1.0,random_matched_norm,4,-44.10285758972168,for_000
1.0,random_matched_norm,5,-44.1049017906189,for_000
1.0,random_matched_norm,6,-44.09685802459717,for_000
1.0,random_matched_norm,7,-44.08238410949707,for_000
1.0,random_matched_norm,8,-44.098759174346924,for_000
1.0,random_matched_norm,9,-44.10692071914673,for_000
2.0,probe_direction,-1,-44.20047664642334,for_000
2.0,random_matched_norm,0,-44.09244966506958,for_000
2.0,random_matched_norm,1,-44.05612373352051,for_000
2.0,random_matched_norm,2,-44.135799407958984,for_000
2.0,random_matched_norm,3,-44.085944175720215,for_000
2.0,random_matched_norm,4,-44.11169624328613,for_000
2.0,random_matched_norm,5,-44.11601638793945,for_000
2.0,random_matched_norm,6,-44.10000276565552,for_000
2.0,random_matched_norm,7,-44.07066202163696,for_000
2.0,random_matched_norm,8,-44.103750228881836,for_000
2.0,random_matched_norm,9,-44.11996126174927,for_000
-2.0,probe_direction,-1,-44.80002737045288,for_000
-2.0,random_matched_norm,0,-44.89860439300537,for_000
-2.0,random_matched_norm,1,-44.979883551597595,for_000
-2.0,random_matched_norm,2,-44.86183714866638,for_000
-2.0,random_matched_norm,3,-44.9315390586853,for_000
-2.0,random_matched_norm,4,-44.89309048652649,for_000
-2.0,random_matched_norm,5,-44.88855457305908,for_000
-2.0,random_matched_norm,6,-44.93834924697876,for_000
-2.0,random_matched_norm,7,-44.99294710159302,for_000
-2.0,random_matched_norm,8,-44.92191743850708,for_000
-2.0,random_matched_norm,9,-44.93002796173096,for_000
-1.0,probe_direction,-1,-44.86416578292847,for_000
-1.0,random_matched_norm,0,-44.91320991516113,for_000
-1.0,random_matched_norm,1,-44.95391893386841,for_000
-1.0,random_matched_norm,2,-44.89491319656372,for_000
-1.0,random_matched_norm,3,-44.930044651031494,for_000
-1.0,random_matched_norm,4,-44.91085076332092,for_000
-1.0,random_matched_norm,5,-44.90826177597046,for_000
-1.0,random_matched_norm,6,-44.933146476745605,for_000
-1.0,random_matched_norm,7,-44.960570335388184,for_000
-1.0,random_matched_norm,8,-44.92506694793701,for_000
-1.0,random_matched_norm,9,-44.929014444351196,for_000
-0.5,probe_direction,-1,-44.895697355270386,for_000
-0.5,random_matched_norm,0,-44.92017316818237,for_000
-0.5,random_matched_norm,1,-44.940523624420166,for_000
-0.5,random_matched_norm,2,-44.910996437072754,for_000
-0.5,random_matched_norm,3,-44.928674936294556,for_000
-0.5,random_matched_norm,4,-44.919031858444214,for_000
-0.5,random_matched_norm,5,-44.91768503189087,for_000
-0.5,random_matched_norm,6,-44.93012523651123,for_000
-0.5,random_matched_norm,7,-44.943867683410645,for_000
