forget_acc,retain_acc,ppl,ppl_ratio,step,lr,seed,run_id,method
0.375,0.3277777777777778,109.5356188031176,1.0,0,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.3194444444444444,0.3416666666666667,104.4034806268507,0.9531463990221157,40,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.2951388888888889,0.3472222222222222,109.81451087599272,1.0025461313490767,80,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.24305555555555555,0.30833333333333335,115.66813760766605,1.0559865263149808,120,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.22569444444444445,0.3388888888888889,119.45541517414101,1.0905622890473055,160,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.18055555555555555,0.3194444444444444,124.12765260111179,1.1332172489409342,200,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.1597222222222222,0.28055555555555556,134.2577159273044,1.2256991597283344,240,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.13194444444444445,0.2388888888888889,149.00707023255802,1.3603526584387815,280,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.1076388888888889,0.2388888888888889,162.2510292248181,1.481262725291694,320,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.08680555555555555,0.23055555555555557,176.69793718947975,1.613155055133998,360,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.08333333333333333,0.25555555555555554,191.24865440421394,1.745995106376946,400,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.08333333333333333,0.2222222222222222,257.84348907539464,2.3539693470746696,440,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
0.08333333333333333,0.2388888888888889,298.27802639476135,2.7231144503861766,480,1e-05,0,20260914-021328_unlearn_gradiff_lr1e-05_seed0_282c9a5d,gradiff
