alpha,predicted_delta,actual_delta,abs_error,entity_id
-2.0,0.08697514981031418,0.08818435668945312,0.0012092068791389465,for_000
-1.0,0.04348757490515709,0.04380035400390625,0.00031277909874916077,for_000
-0.5,0.021743787452578545,0.0218353271484375,9.153969585895538e-05,for_000
0.5,-0.021743787452578545,-0.0216522216796875,9.156577289104462e-05,for_000
1.0,-0.04348757490515709,-0.04319000244140625,0.00029757246375083923,for_000
2.0,-0.08697514981031418,-0.08575820922851562,0.0012169405817985535,for_000
-2.0,0.10911667346954346,0.11073684692382812,0.001620173454284668,for_000
-1.0,0.05455833673477173,0.054950714111328125,0.0003923773765563965,for_000
-0.5,0.027279168367385864,0.027370452880859375,9.128451347351074e-05,for_000
0.5,-0.027279168367385864,-0.02718353271484375,9.563565254211426e-05,for_000
1.0,-0.05455833673477173,-0.0541534423828125,0.0004048943519592285,for_000
2.0,-0.10911667346954346,-0.10747528076171875,0.001641392707824707,for_000
-2.0,0.12379255890846252,0.126800537109375,0.0030079782009124756,for_000
-1.0,0.06189627945423126,0.06266021728515625,0.0007639378309249878,for_000
-0.5,0.03094813972711563,0.0311279296875,0.0001797899603843689,for_000
0.5,-0.03094813972711563,-0.03075408935546875,0.0001940503716468811,for_000
1.0,-0.06189627945423126,-0.06111907958984375,0.0007771998643875122,for_000
2.0,-0.12379255890846252,-0.12078094482421875,0.0030116140842437744,for_000
-2.0,0.12113404273986816,0.12351226806640625,0.002378225326538086,for_000
-1.0,0.06056702136993408,0.0611572265625,0.000590205192565918,for_000
-0.5,0.03028351068496704,0.0304412841796875,0.00015777349472045898,for_000
0.5,-0.03028351068496704,-0.030124664306640625,0.00015884637832641602,for_000
1.0,-0.06056702136993408,-0.05995941162109375,0.000607609748840332,for_000
2.0,-0.12113404273986816,-0.11875152587890625,0.002382516860961914,for_000
-2.0,0.12344446778297424,0.12543487548828125,0.001990407705307007,for_000
-1.0,0.06172223389148712,0.06221771240234375,0.0004954785108566284,for_000
-0.5,0.03086111694574356,0.030975341796875,0.00011422485113143921,for_000
0.5,-0.03086111694574356,-0.030731201171875,0.0001299157738685608,for_000
1.0,-0.06172223389148712,-0.06121063232421875,0.0005116015672683716,for_000
2.0,-0.12344446778297424,-0.12141799926757812,0.002026468515396118,for_000
-2.0,0.10312740504741669,0.10559844970703125,0.002471044659614563,for_000
-1.0,0.051563702523708344,0.052181243896484375,0.0006175413727760315,for_000
-0.5,0.025781851261854172,0.02591705322265625,0.00013520196080207825,for_000
0.5,-0.025781851261854172,-0.025630950927734375,0.00015090033411979675,for_000
1.0,-0.051563702523708344,-0.050960540771484375,0.0006031617522239685,for_000
2.0,-0.10312740504741669,-0.10060501098632812,0.002522394061088562,for_000
-2.0,-0.07299602776765823,-0.07184219360351562,0.0011538341641426086,for_001
