forget_acc,retain_acc,ppl,ppl_ratio,step,lr,beta,seed,run_id,method
0.18055555555555555,0.3138888888888889,136.21695845482571,1.2435859672246514,140,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.125,0.25277777777777777,145.5519302445033,1.328809129257967,160,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.09027777777777778,0.25833333333333336,148.81734706708482,1.3586205902079516,180,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.28055555555555556,156.8824665680918,1.4322506987437278,200,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.2222222222222222,170.62806931828493,1.557740497408214,220,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.225,175.72678991444852,1.6042890142457202,240,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.22777777777777777,174.1090625644189,1.589520052626602,260,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.2222222222222222,189.62375601938172,1.7311606771512085,280,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.26944444444444443,207.9264635159984,1.8982543376116883,300,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.24722222222222223,215.53116979444175,1.9676811264639271,320,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.25555555555555554,224.89874761043762,2.0532019635975853,340,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.2722222222222222,226.38847118750655,2.066802321119156,360,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.26666666666666666,257.2637476038004,2.348676626059086,380,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.08333333333333333,0.24166666666666667,296.88134068770074,2.7103634774851058,400,2e-05,0.1,1,20260913-043255_unlearn_npo_retain_lr2e-05_beta0.1_seed1_d2c3dfba,npo_retain
0.375,0.3277777777777778,109.5356188031176,1.0,0,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.22916666666666666,0.25833333333333336,115.82378434675698,1.0574074955010013,20,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.2569444444444444,0.32222222222222224,116.70238569134837,1.0654286429066742,40,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.2534722222222222,0.3194444444444444,121.30566506379357,1.1074540536611364,60,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.1875,0.275,126.57020357994577,1.1555163969762805,80,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.16666666666666666,0.30833333333333335,125.29917597319798,1.1439126134706394,100,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.15625,0.3111111111111111,134.56065954418958,1.2284648684557367,120,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.14583333333333334,0.35,142.07004180157566,1.297021401384844,140,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.11458333333333333,0.3055555555555556,160.05758093813978,1.4612377479313992,160,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.09375,0.3333333333333333,162.37152104402028,1.48236274937992,180,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.09722222222222222,0.30277777777777776,172.57988657950867,1.5755595163040856,200,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.09027777777777778,0.38333333333333336,174.7216856995476,1.5951129651588245,220,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.09027777777777778,0.4,192.6201767909473,1.758516351992937,240,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.0763888888888889,0.4083333333333333,223.6735802160651,2.0420168586266194,260,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.09375,0.4583333333333333,229.28362847921744,2.0932335160431994,280,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.09722222222222222,0.4083333333333333,242.51076837778746,2.213990033814326,300,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.08680555555555555,0.4305555555555556,250.5802969882483,2.287660395096214,320,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.08680555555555555,0.46944444444444444,257.6780296513116,2.3524587934676235,340,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.0798611111111111,0.4388888888888889,317.215649982798,2.8960045458178345,360,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.0798611111111111,0.45555555555555555,316.37683566828446,2.8883466321302214,380,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
0.08333333333333333,0.48333333333333334,281.0578329307247,2.5659035481043473,400,2e-05,0.1,2,20260913-045937_unlearn_npo_retain_lr2e-05_beta0.1_seed2_57061c43,npo_retain
