layer,position,kind,logit_diff_base,logit_diff_donor,logit_diff_patched,recovery,set,entity_id,model
0,-6,real,-52.51907932758331,7.559791564941406,-52.51938462257385,-5.081570042913988e-06,forget,for_000,M_gd_s2
0,-5,real,-52.51907932758331,7.559791564941406,-52.50334596633911,0.0002618784442927884,forget,for_000,M_gd_s2
0,-4,real,-52.51907932758331,7.559791564941406,-52.5159786939621,5.160938571503039e-05,forget,for_000,M_gd_s2
0,-3,real,-52.51907932758331,7.559791564941406,-52.513681173324585,8.985112700244987e-05,forget,for_000,M_gd_s2
0,-2,real,-52.51907932758331,7.559791564941406,-52.46461570262909,0.0009065354282648517,forget,for_000,M_gd_s2
0,-1,real,-52.51907932758331,7.559791564941406,-52.48054575920105,0.000641383032167765,forget,for_000,M_gd_s2
0,-13,random_position,-52.51907932758331,7.559791564941406,-52.503002762794495,0.0002675909941379853,forget,for_000,M_gd_s2
1,-6,real,-52.51907932758331,7.559791564941406,-52.51728105545044,2.9931856344145844e-05,forget,for_000,M_gd_s2
1,-5,real,-52.51907932758331,7.559791564941406,-52.481414914131165,0.0006269161336191957,forget,for_000,M_gd_s2
1,-4,real,-52.51907932758331,7.559791564941406,-52.52701675891876,-0.00013211685268933423,forget,for_000,M_gd_s2
1,-3,real,-52.51907932758331,7.559791564941406,-52.506770968437195,0.0002048700144204878,forget,for_000,M_gd_s2
1,-2,real,-52.51907932758331,7.559791564941406,-52.40821349620819,0.0018453381318275822,forget,for_000,M_gd_s2
1,-1,real,-52.51907932758331,7.559791564941406,-52.42231833934784,0.0016105660242611694,forget,for_000,M_gd_s2
1,-3,random_position,-52.51907932758331,7.559791564941406,-52.506770968437195,0.0002048700144204878,forget,for_000,M_gd_s2
2,-6,real,-52.51907932758331,7.559791564941406,-52.517260789871216,3.0269172590649313e-05,forget,for_000,M_gd_s2
2,-5,real,-52.51907932758331,7.559791564941406,-52.447643518447876,0.0011890338162850755,forget,for_000,M_gd_s2
2,-4,real,-52.51907932758331,7.559791564941406,-52.50314283370972,0.00026525954361068197,forget,for_000,M_gd_s2
2,-3,real,-52.51907932758331,7.559791564941406,-52.50906980037689,0.00016660644678770633,forget,for_000,M_gd_s2
2,-2,real,-52.51907932758331,7.559791564941406,-52.415414333343506,0.0017254817325920416,forget,for_000,M_gd_s2
2,-1,real,-52.51907932758331,7.559791564941406,-52.29255938529968,0.0037703761558510744,forget,for_000,M_gd_s2
2,-9,random_position,-52.51907932758331,7.559791564941406,-52.161994218826294,0.005943605521412173,forget,for_000,M_gd_s2
3,-6,real,-52.51907932758331,7.559791564941406,-52.526175022125244,-0.00011810632318015202,forget,for_000,M_gd_s2
3,-5,real,-52.51907932758331,7.559791564941406,-52.428388833999634,0.0015095239347276634,forget,for_000,M_gd_s2
3,-4,real,-52.51907932758331,7.559791564941406,-52.497626423835754,0.00035707901012214027,forget,for_000,M_gd_s2
3,-3,real,-52.51907932758331,7.559791564941406,-52.51059663295746,0.00014119264393349222,forget,for_000,M_gd_s2
3,-2,real,-52.51907932758331,7.559791564941406,-52.44946908950806,0.0011586475751147573,forget,for_000,M_gd_s2
3,-1,real,-52.51907932758331,7.559791564941406,-52.09177494049072,0.007112390441840967,forget,for_000,M_gd_s2
3,-13,random_position,-52.51907932758331,7.559791564941406,-52.38074851036072,0.0023024869670080126,forget,for_000,M_gd_s2
4,-6,real,-52.51907932758331,7.559791564941406,-52.510947704315186,0.00013534913601612333,forget,for_000,M_gd_s2
4,-5,real,-52.51907932758331,7.559791564941406,-52.46233081817627,0.0009445668429515102,forget,for_000,M_gd_s2
4,-4,real,-52.51907932758331,7.559791564941406,-52.44444036483765,0.0012423496253647706,forget,for_000,M_gd_s2
4,-3,real,-52.51907932758331,7.559791564941406,-52.484845876693726,0.0005698084930861588,forget,for_000,M_gd_s2
4,-2,real,-52.51907932758331,7.559791564941406,-52.4609272480011,0.0009679289693416974,forget,for_000,M_gd_s2
4,-1,real,-52.51907932758331,7.559791564941406,-51.874921560287476,0.010721868732323104,forget,for_000,M_gd_s2
4,-10,random_position,-52.51907932758331,7.559791564941406,-52.376293420791626,0.002376640983268763,forget,for_000,M_gd_s2
5,-6,real,-52.51907932758331,7.559791564941406,-52.49701416492462,0.00036726992919297445,forget,for_000,M_gd_s2
5,-5,real,-52.51907932758331,7.559791564941406,-52.47152936458588,0.0007914589986635868,forget,for_000,M_gd_s2
5,-4,real,-52.51907932758331,7.559791564941406,-52.417927980422974,0.0016836426127463235,forget,for_000,M_gd_s2
5,-3,real,-52.51907932758331,7.559791564941406,-52.46477150917053,0.0009039420615932045,forget,for_000,M_gd_s2
5,-2,real,-52.51907932758331,7.559791564941406,-52.44637727737427,0.001210110129051898,forget,for_000,M_gd_s2
5,-1,real,-52.51907932758331,7.559791564941406,-51.45718574523926,0.017674992332057635,forget,for_000,M_gd_s2
5,-12,random_position,-52.51907932758331,7.559791564941406,-52.509068846702576,0.00016662232049342415,forget,for_000,M_gd_s2
6,-6,real,-52.51907932758331,7.559791564941406,-52.40928077697754,0.0018275734709161378,forget,for_000,M_gd_s2
6,-5,real,-52.51907932758331,7.559791564941406,-52.5218141078949,-4.5519835359035453e-05,forget,for_000,M_gd_s2
6,-4,real,-52.51907932758331,7.559791564941406,-52.45470905303955,0.0010714294990482494,forget,for_000,M_gd_s2
6,-3,real,-52.51907932758331,7.559791564941406,-52.44042110443115,0.0013092493581124817,forget,for_000,M_gd_s2
6,-2,real,-52.51907932758331,7.559791564941406,-52.46261405944824,0.0009398523523533206,forget,for_000,M_gd_s2
6,-1,real,-52.51907932758331,7.559791564941406,-49.75404238700867,0.04602345049927834,forget,for_000,M_gd_s2
6,-2,random_position,-52.51907932758331,7.559791564941406,-52.46261405944824,0.0009398523523533206,forget,for_000,M_gd_s2
7,-6,real,-52.51907932758331,7.559791564941406,-52.32468390464783,0.003235670378746638,forget,for_000,M_gd_s2
7,-5,real,-52.51907932758331,7.559791564941406,-52.54571056365967,-0.0004432712479566349,forget,for_000,M_gd_s2
