alpha,kind,draw,logit_diff,entity_id
-2.0,probe_direction,-1,-38.67516756057739,for_000
-2.0,random_matched_norm,0,-38.64791250228882,for_000
-2.0,random_matched_norm,1,-38.67205047607422,for_000
-2.0,random_matched_norm,2,-38.59805727005005,for_000
-2.0,random_matched_norm,3,-38.621230602264404,for_000
-2.0,random_matched_norm,4,-38.581355571746826,for_000
-2.0,random_matched_norm,5,-38.59130811691284,for_000
-2.0,random_matched_norm,6,-38.61320447921753,for_000
-2.0,random_matched_norm,7,-38.62932300567627,for_000
-2.0,random_matched_norm,8,-38.596736431121826,for_000
-2.0,random_matched_norm,9,-38.56778526306152,for_000
-1.0,probe_direction,-1,-38.64949655532837,for_000
-1.0,random_matched_norm,0,-38.635915756225586,for_000
-1.0,random_matched_norm,1,-38.64813280105591,for_000
-1.0,random_matched_norm,2,-38.61111497879028,for_000
-1.0,random_matched_norm,3,-38.62259101867676,for_000
-1.0,random_matched_norm,4,-38.60273838043213,for_000
-1.0,random_matched_norm,5,-38.60772228240967,for_000
-1.0,random_matched_norm,6,-38.618651390075684,for_000
-1.0,random_matched_norm,7,-38.626654624938965,for_000
-1.0,random_matched_norm,8,-38.61031198501587,for_000
-1.0,random_matched_norm,9,-38.59593486785889,for_000
-0.5,probe_direction,-1,-38.636563301086426,for_000
-0.5,random_matched_norm,0,-38.6297607421875,for_000
-0.5,random_matched_norm,1,-38.63591814041138,for_000
-0.5,random_matched_norm,2,-38.61740732192993,for_000
-0.5,random_matched_norm,3,-38.62312126159668,for_000
-0.5,random_matched_norm,4,-38.613216400146484,for_000
-0.5,random_matched_norm,5,-38.61570596694946,for_000
-0.5,random_matched_norm,6,-38.62116289138794,for_000
-0.5,random_matched_norm,7,-38.62514591217041,for_000
-0.5,random_matched_norm,8,-38.616960525512695,for_000
-0.5,random_matched_norm,9,-38.609806537628174,for_000
0.0,probe_direction,-1,-38.623526096343994,for_000
0.0,random_matched_norm,0,-38.623526096343994,for_000
0.0,random_matched_norm,1,-38.623526096343994,for_000
0.0,random_matched_norm,2,-38.623526096343994,for_000
0.0,random_matched_norm,3,-38.623526096343994,for_000
0.0,random_matched_norm,4,-38.623526096343994,for_000
0.0,random_matched_norm,5,-38.623526096343994,for_000
0.0,random_matched_norm,6,-38.623526096343994,for_000
0.0,random_matched_norm,7,-38.623526096343994,for_000
0.0,random_matched_norm,8,-38.623526096343994,for_000
0.0,random_matched_norm,9,-38.623526096343994,for_000
0.5,probe_direction,-1,-38.61042499542236,for_000
0.5,random_matched_norm,0,-38.617196559906006,for_000
0.5,random_matched_norm,1,-38.610952854156494,for_000
0.5,random_matched_norm,2,-38.62949514389038,for_000
0.5,random_matched_norm,3,-38.623836040496826,for_000
0.5,random_matched_norm,4,-38.63370370864868,for_000
0.5,random_matched_norm,5,-38.63119888305664,for_000
0.5,random_matched_norm,6,-38.62575054168701,for_000
0.5,random_matched_norm,7,-38.62179183959961,for_000
0.5,random_matched_norm,8,-38.6299934387207,for_000
0.5,random_matched_norm,9,-38.63710975646973,for_000
1.0,probe_direction,-1,-38.59723663330078,for_000
1.0,random_matched_norm,0,-38.61075735092163,for_000
1.0,random_matched_norm,1,-38.5982346534729,for_000
1.0,random_matched_norm,2,-38.63530206680298,for_000
1.0,random_matched_norm,3,-38.62405061721802,for_000
1.0,random_matched_norm,4,-38.64371919631958,for_000
1.0,random_matched_norm,5,-38.638723373413086,for_000
1.0,random_matched_norm,6,-38.62783145904541,for_000
