layer,position,kind,logit_diff_base,logit_diff_donor,logit_diff_patched,recovery,set,entity_id,model
0,-6,real,-43.79265308380127,7.559791564941406,-43.746920108795166,0.0008905705525593366,forget,for_000,M_npo_s1
0,-5,real,-43.79265308380127,7.559791564941406,-43.755510330200195,0.0007232908550923998,forget,for_000,M_npo_s1
0,-4,real,-43.79265308380127,7.559791564941406,-43.79079341888428,3.621375632090224e-05,forget,for_000,M_npo_s1
0,-3,real,-43.79265308380127,7.559791564941406,-43.777708530426025,0.0002910193171418967,forget,for_000,M_npo_s1
0,-2,real,-43.79265308380127,7.559791564941406,-43.73851156234741,0.0010543124446010777,forget,for_000,M_npo_s1
0,-1,real,-43.79265308380127,7.559791564941406,-43.76273536682129,0.0005825957689964226,forget,for_000,M_npo_s1
0,-13,random_position,-43.79265308380127,7.559791564941406,-43.761606216430664,0.000604584018988191,forget,for_000,M_npo_s1
1,-6,real,-43.79265308380127,7.559791564941406,-43.72789478302002,0.0012610558508792543,forget,for_000,M_npo_s1
1,-5,real,-43.79265308380127,7.559791564941406,-43.69753885269165,0.0018521850665574485,forget,for_000,M_npo_s1
1,-4,real,-43.79265308380127,7.559791564941406,-43.776036739349365,0.0003235745555165334,forget,for_000,M_npo_s1
1,-3,real,-43.79265308380127,7.559791564941406,-43.7646107673645,0.0005460755885835743,forget,for_000,M_npo_s1
1,-2,real,-43.79265308380127,7.559791564941406,-43.678483963012695,0.002223246070747083,forget,for_000,M_npo_s1
1,-1,real,-43.79265308380127,7.559791564941406,-43.69328308105469,0.0019350588550610516,forget,for_000,M_npo_s1
1,-3,random_position,-43.79265308380127,7.559791564941406,-43.7646107673645,0.0005460755885835743,forget,for_000,M_npo_s1
2,-6,real,-43.79265308380127,7.559791564941406,-43.70852851867676,0.0016381803378580039,forget,for_000,M_npo_s1
2,-5,real,-43.79265308380127,7.559791564941406,-43.61626958847046,0.003434763360095052,forget,for_000,M_npo_s1
2,-4,real,-43.79265308380127,7.559791564941406,-43.77698516845703,0.0003051055397928733,forget,for_000,M_npo_s1
2,-3,real,-43.79265308380127,7.559791564941406,-43.75574350357056,0.0007187502071844713,forget,for_000,M_npo_s1
2,-2,real,-43.79265308380127,7.559791564941406,-43.6109561920166,0.00353823256180885,forget,for_000,M_npo_s1
2,-1,real,-43.79265308380127,7.559791564941406,-43.63022470474243,0.0031630116184315836,forget,for_000,M_npo_s1
2,-9,random_position,-43.79265308380127,7.559791564941406,-43.52200222015381,0.005270457239158674,forget,for_000,M_npo_s1
3,-6,real,-43.79265308380127,7.559791564941406,-43.69740390777588,0.0018548128852853498,forget,for_000,M_npo_s1
3,-5,real,-43.79265308380127,7.559791564941406,-43.57604122161865,0.0042181411939445175,forget,for_000,M_npo_s1
3,-4,real,-43.79265308380127,7.559791564941406,-43.73899269104004,0.0010449432958503622,forget,for_000,M_npo_s1
3,-3,real,-43.79265308380127,7.559791564941406,-43.744850635528564,0.0009308699634395202,forget,for_000,M_npo_s1
3,-2,real,-43.79265308380127,7.559791564941406,-43.647844314575195,0.002819900205658851,forget,for_000,M_npo_s1
