alpha,predicted_delta,actual_delta,abs_error,entity_id
-2.0,-0.004628281574696302,-0.002201080322265625,0.0024272012524306774,for_000
-1.0,-0.002314140787348151,-0.001697540283203125,0.0006166005041450262,for_000
-0.5,-0.0011570703936740756,-0.00099945068359375,0.0001576197100803256,for_000
0.5,0.0011570703936740756,0.001312255859375,0.0001551854657009244,for_000
1.0,0.002314140787348151,0.002933502197265625,0.0006193614099174738,for_000
2.0,0.004628281574696302,0.007068634033203125,0.0024403524585068226,for_000
-2.0,0.021051529794931412,0.02391815185546875,0.0028666220605373383,for_000
-1.0,0.010525764897465706,0.0112457275390625,0.0007199626415967941,for_000
-0.5,0.005262882448732853,0.005458831787109375,0.00019594933837652206,for_000
0.5,-0.005262882448732853,-0.00507354736328125,0.00018933508545160294,for_000
1.0,-0.010525764897465706,-0.00980377197265625,0.0007219929248094559,for_000
2.0,-0.021051529794931412,-0.0181732177734375,0.0028783120214939117,for_000
-2.0,0.03959435224533081,0.041622161865234375,0.0020278096199035645,for_000
-1.0,0.019797176122665405,0.020313262939453125,0.0005160868167877197,for_000
-0.5,0.009898588061332703,0.0100555419921875,0.00015695393085479736,for_000
0.5,-0.009898588061332703,-0.009731292724609375,0.00016729533672332764,for_000
1.0,-0.019797176122665405,-0.01924896240234375,0.0005482137203216553,for_000
2.0,-0.03959435224533081,-0.03746795654296875,0.0021263957023620605,for_000
-2.0,0.012291649356484413,0.014507293701171875,0.002215644344687462,for_000
-1.0,0.006145824678242207,0.006694793701171875,0.0005489690229296684,for_000
-0.5,0.0030729123391211033,0.003223419189453125,0.0001505068503320217,for_000
0.5,-0.0030729123391211033,-0.002948760986328125,0.0001241513527929783,for_000
1.0,-0.006145824678242207,-0.005573272705078125,0.0005725519731640816,for_000
2.0,-0.012291649356484413,-0.010101318359375,0.002190330997109413,for_000
-2.0,0.028520647436380386,0.031429290771484375,0.0029086433351039886,for_000
-1.0,0.014260323718190193,0.014987945556640625,0.0007276218384504318,for_000
-0.5,0.007130161859095097,0.007293701171875,0.0001635393127799034,for_000
0.5,-0.007130161859095097,-0.0069427490234375,0.0001874128356575966,for_000
1.0,-0.014260323718190193,-0.01354217529296875,0.0007181484252214432,for_000
2.0,-0.028520647436380386,-0.02557373046875,0.0029469169676303864,for_000
-2.0,0.03666430339217186,0.0391998291015625,0.0025355257093906403,for_000
-1.0,0.01833215169608593,0.018962860107421875,0.0006307084113359451,for_000
-0.5,0.009166075848042965,0.00931549072265625,0.00014941487461328506,for_000
0.5,-0.009166075848042965,-0.008998870849609375,0.00016720499843358994,for_000
1.0,-0.01833215169608593,-0.01769256591796875,0.0006395857781171799,for_000
2.0,-0.03666430339217186,-0.03409576416015625,0.0025685392320156097,for_000
-2.0,-0.1266162097454071,-0.124725341796875,0.0018908679485321045,for_001
-1.0,-0.06330810487270355,-0.06284332275390625,0.00046478211879730225,for_001
-0.5,-0.031654052436351776,-0.031536102294921875,0.00011795014142990112,for_001
0.5,0.031654052436351776,0.03176689147949219,0.00011283904314041138,for_001
1.0,0.06330810487270355,0.06377983093261719,0.00047172605991363525,for_001
2.0,0.1266162097454071,0.1285419464111328,0.001925736665725708,for_001
-2.0,-0.11596361547708511,-0.11437034606933594,0.001593269407749176,for_001
-1.0,-0.05798180773854256,-0.05758476257324219,0.00039704516530036926,for_001
-0.5,-0.02899090386927128,-0.028894424438476562,9.647943079471588e-05,for_001
0.5,0.02899090386927128,0.029094696044921875,0.00010379217565059662,for_001
1.0,0.05798180773854256,0.0583953857421875,0.00041357800364494324,for_001
2.0,0.11596361547708511,0.11762237548828125,0.0016587600111961365,for_001
-2.0,-0.13620853424072266,-0.13454055786132812,0.0016679763793945312,for_001
-1.0,-0.06810426712036133,-0.06768798828125,0.0004162788391113281,for_001
-0.5,-0.034052133560180664,-0.03394889831542969,0.00010323524475097656,for_001
0.5,0.034052133560180664,0.03415679931640625,0.00010466575622558594,for_001
1.0,0.06810426712036133,0.06852912902832031,0.0004248619079589844,for_001
2.0,0.13620853424072266,0.13791465759277344,0.0017061233520507812,for_001
-2.0,-0.10465434938669205,-0.1031951904296875,0.0014591589570045471,for_001
-1.0,-0.052327174693346024,-0.05196380615234375,0.00036336854100227356,for_001
-0.5,-0.026163587346673012,-0.026079177856445312,8.440949022769928e-05,for_001
0.5,0.026163587346673012,0.026258468627929688,9.488128125667572e-05,for_001
1.0,0.052327174693346024,0.052707672119140625,0.00038049742579460144,for_001
2.0,0.10465434938669205,0.10619735717773438,0.0015430077910423279,for_001
-2.0,-0.10740567743778229,-0.10573196411132812,0.0016737133264541626,for_001
-1.0,-0.053702838718891144,-0.05327796936035156,0.0004248693585395813,for_001
-0.5,-0.026851419359445572,-0.026735305786132812,0.0001161135733127594,for_001
0.5,0.026851419359445572,0.026952743530273438,0.0001013241708278656,for_001
1.0,0.053702838718891144,0.05414009094238281,0.0004372522234916687,for_001
2.0,0.10740567743778229,0.10917091369628906,0.001765236258506775,for_001
-2.0,-0.11747976392507553,-0.11597824096679688,0.001501522958278656,for_001
-1.0,-0.058739881962537766,-0.05836296081542969,0.000376921147108078,for_001
-0.5,-0.029369940981268883,-0.0292816162109375,8.832477033138275e-05,for_001
0.5,0.029369940981268883,0.029474258422851562,0.00010431744158267975,for_001
1.0,0.058739881962537766,0.059112548828125,0.0003726668655872345,for_001
2.0,0.11747976392507553,0.11902427673339844,0.0015445128083229065,for_001
-2.0,0.003640622366219759,0.0034307539463043213,0.0002098684199154377,for_002
-1.0,0.0018203111831098795,0.0017677843570709229,5.252682603895664e-05,for_002
-0.5,0.0009101555915549397,0.0009001195430755615,1.0036048479378223e-05,for_002
0.5,-0.0009101555915549397,-0.0009233057498931885,1.315015833824873e-05,for_002
1.0,-0.0018203111831098795,-0.0018706917762756348,5.038059316575527e-05,for_002
2.0,-0.003640622366219759,-0.0038483142852783203,0.00020769191905856133,for_002
-2.0,0.00022695600637234747,0.00020858459174633026,1.8371414626017213e-05,for_002
-1.0,0.00011347800318617374,0.00010885205119848251,4.625951987691224e-06,for_002
-0.5,5.673900159308687e-05,5.549192428588867e-05,1.2470773071981966e-06,for_002
0.5,-5.673900159308687e-05,-5.7859811931848526e-05,1.1208103387616575e-06,for_002
1.0,-0.00011347800318617374,-0.0001180875115096569,4.609508323483169e-06,for_002
2.0,-0.00022695600637234747,-0.00024540722370147705,1.8451217329129577e-05,for_002
-2.0,0.00018729067232925445,0.00014662928879261017,4.066138353664428e-05,for_002
-1.0,9.364533616462722e-05,8.365046232938766e-05,9.99487383523956e-06,for_002
-0.5,4.682266808231361e-05,4.4541433453559875e-05,2.2812346287537366e-06,for_002
0.5,-4.682266808231361e-05,-4.92660328745842e-05,2.443364792270586e-06,for_002
1.0,-9.364533616462722e-05,-0.0001038452610373497,1.0199924872722477e-05,for_002
2.0,-0.00018729067232925445,-0.00022764131426811218,4.0350641938857734e-05,for_002
-2.0,0.0002054417709587142,0.0001874915324151516,1.795023854356259e-05,for_002
-1.0,0.0001027208854793571,9.818840771913528e-05,4.532477760221809e-06,for_002
