alpha,predicted_delta,actual_delta,abs_error,entity_id
-2.0,-0.05225645750761032,-0.051639556884765625,0.000616900622844696,for_000
-1.0,-0.02612822875380516,-0.025970458984375,0.00015776976943016052,for_000
-0.5,-0.01306411437690258,-0.013034820556640625,2.929382026195526e-05,for_000
0.5,0.01306411437690258,0.013103485107421875,3.937073051929474e-05,for_000
1.0,0.02612822875380516,0.0262908935546875,0.00016266480088233948,for_000
2.0,0.05225645750761032,0.0529022216796875,0.000645764172077179,for_000
-2.0,-0.006119446828961372,-0.00522613525390625,0.0008933115750551224,for_000
-1.0,-0.003059723414480686,-0.002849578857421875,0.0002101445570588112,for_000
-0.5,-0.001529861707240343,-0.001491546630859375,3.8315076380968094e-05,for_000
0.5,0.001529861707240343,0.00157928466796875,4.9422960728406906e-05,for_000
1.0,0.003059723414480686,0.0033111572265625,0.0002514338120818138,for_000
2.0,0.006119446828961372,0.00714874267578125,0.0010292958468198776,for_000
-2.0,-0.06543394923210144,-0.062744140625,0.0026898086071014404,for_000
-1.0,-0.03271697461605072,-0.03203582763671875,0.0006811469793319702,for_000
-0.5,-0.01635848730802536,-0.01619720458984375,0.0001612827181816101,for_000
0.5,0.01635848730802536,0.0165252685546875,0.0001667812466621399,for_000
1.0,0.03271697461605072,0.033367156982421875,0.0006501823663711548,for_000
2.0,0.06543394923210144,0.06801223754882812,0.0025782883167266846,for_000
-2.0,-0.004488623701035976,-0.001529693603515625,0.0029589300975203514,for_000
-1.0,-0.002244311850517988,-0.001522064208984375,0.0007222476415336132,for_000
-0.5,-0.001122155925258994,-0.00091552734375,0.0002066285815089941,for_000
0.5,0.001122155925258994,0.001308441162109375,0.0001862852368503809,for_000
1.0,0.002244311850517988,0.0030059814453125,0.0007616695947945118,for_000
2.0,0.004488623701035976,0.00753021240234375,0.0030415887013077736,for_000
-2.0,-0.012481607496738434,-0.011348724365234375,0.0011328831315040588,for_000
-1.0,-0.006240803748369217,-0.00594329833984375,0.0002975054085254669,for_000
-0.5,-0.0031204018741846085,-0.003032684326171875,8.771754801273346e-05,for_000
0.5,0.0031204018741846085,0.00319671630859375,7.631443440914154e-05,for_000
1.0,0.006240803748369217,0.00655364990234375,0.0003128461539745331,for_000
2.0,0.012481607496738434,0.013759613037109375,0.0012780055403709412,for_000
-2.0,-0.026258843019604683,-0.02283477783203125,0.003424065187573433,for_000
-1.0,-0.013129421509802341,-0.01229095458984375,0.0008384669199585915,for_000
-0.5,-0.006564710754901171,-0.006351470947265625,0.00021323980763554573,for_000
0.5,0.006564710754901171,0.006755828857421875,0.00019111810252070427,for_000
1.0,0.013129421509802341,0.01396942138671875,0.0008399998769164085,for_000
2.0,0.026258843019604683,0.02967071533203125,0.003411872312426567,for_000
-2.0,-0.25773176550865173,-0.2567605972290039,0.0009711682796478271,for_001
-1.0,-0.12886588275432587,-0.12862300872802734,0.00024287402629852295,for_001
-0.5,-0.06443294137716293,-0.06436920166015625,6.373971700668335e-05,for_001
0.5,0.06443294137716293,0.06449413299560547,6.11916184425354e-05,for_001
1.0,0.12886588275432587,0.12911033630371094,0.0002444535493850708,for_001
2.0,0.25773176550865173,0.2587137222290039,0.0009819567203521729,for_001
-2.0,-0.23697099089622498,-0.23578262329101562,0.0011883676052093506,for_001
-1.0,-0.11848549544811249,-0.11818122863769531,0.0003042668104171753,for_001
-0.5,-0.059242747724056244,-0.059162139892578125,8.06078314781189e-05,for_001
0.5,0.059242747724056244,0.059322357177734375,7.96094536781311e-05,for_001
