alpha,probe_mean,random_mean,diff,lo,hi,n_entities,excludes_zero
-2.0,-25.211625254154207,-25.17975573271513,-0.03186952143907547,-0.12658458451430032,0.06245531464616505,4,False
-1.0,-25.195542484521866,-25.179608748853205,-0.015933735668660787,-0.0632545853654561,0.031232925007738405,4,False
-0.5,-25.18730535507202,-25.17931166321039,-0.00799369186163006,-0.031620408097904264,0.015614061305920282,4,False
0.0,-25.17893347144127,-25.17893347144127,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,4,False
0.5,-25.171046841144562,-25.17856725126505,0.007520410120487897,-0.015612413734195604,0.03160123229026753,4,False
1.0,-25.163260096311568,-25.17817049086094,0.014910394549370199,-0.031229673822718833,0.06317701687415338,4,False
2.0,-25.147490391135214,-25.177111845612526,0.029621454477308618,-0.062459534903370084,0.12626876582701874,4,False
